year and month,cloudiness
2008-01,3.048837209
2008-02,1.723255814
2008-03,2.486046512
2008-04,2.423255814
2008-05,2.425581395
2008-06,4.21627907
2008-07,4.874418605
2008-08,4.113333333
2008-09,3.368888889
2008-10,2.52
2008-11,2.958823529
2008-12,2.984313725
2009-01,2.701960784
2009-02,3.076470588
2009-03,2.843137255
2009-04,2.515686275
2009-05,2.607843137
2009-06,3.743137255
2009-07,4.890196078
2009-08,4.121568627
2009-09,3.070588235
2009-10,2.435294118
2009-11,3.925490196
2009-12,3.325490196
2010-01,3.023529412
2010-02,3.441176471
2010-03,3.949019608
2010-04,3.233333333
2010-05,3.311764706
2010-06,3.549019608
2010-07,5.317647059
2010-08,4.982352941
2010-09,4.02745098
2010-10,3.106
2010-11,2.342857143
2010-12,3.179591837
2011-01,2.579545455
2011-02,2.359090909
2011-03,1.913953488
2011-04,2.87
2011-05,3.35
2011-06,4.1775
2011-07,5.46
2011-08,5.1875
2011-09,3.37
2011-10,2.49
2011-11,3.985
2011-12,3.3125
2012-01,3.135
2012-02,2.74
2012-03,3.235
2012-04,2.645
2012-05,2.5875
2012-06,3.8175
2012-07,4.6325
2012-08,4.72
2012-09,3.8675
2012-10,2.32
2012-11,3.3275
2012-12,3.435
2013-01,2.985
2013-02,2.6975
2013-03,2.1375
2013-04,2.995
2013-05,2.715
2013-06,4.11
2013-07,5.1775
2013-08,3.7175
2013-09,3.23
2013-10,2.687179487
2013-11,3.3075
2013-12,3.375
2014-01,2.4225
2014-02,3.26
2014-03,2.75
2014-04,2.4925
2014-05,1.9725
2014-06,4.5725
2014-07,4.89
2014-08,4.9375
2014-09,3.1925
2014-10,2.723076923
2014-11,3.202564103
2014-12,3.432432432
2015-01,3.095833333
2015-02,3.225
2015-03,1.879166667
2015-04,3.339130435
2015-05,2.069565217
2015-06,3.777272727
2015-07,4.745454545
2015-08,3.663636364
2015-09,2.963636364
2015-10,2.154545455
2015-11,4.959090909
2015-12,3.777272727
2016-01,3.313636364
2016-02,2.922727273
2016-03,2.295454545
2016-04,2.9
2016-05,2.377272727
2016-06,3.95
2016-07,4.504545455
2016-08,3.054545455
2016-09,4.227272727
2016-10,3.895454545
2016-11,3.413636364
2016-12,3.604545455
